Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Basic_VQC,cytotoxicity_median,3,4,143,200,0.5766,0.5756,0.5200,0.6000,0.02,3.22
Basic_VQC,cytotoxicity_median,3,4,144,200,0.5776,0.5756,0.5200,0.6000,0.02,3.25
Basic_VQC,cytotoxicity_median,3,4,145,200,0.5794,0.5756,0.5000,0.6000,0.02,3.27
Basic_VQC,cytotoxicity_median,3,4,146,200,0.5813,0.5756,0.5000,0.6000,0.02,3.30
Basic_VQC,cytotoxicity_median,3,4,147,200,0.5801,0.5756,0.5400,0.6000,0.02,3.32
Basic_VQC,cytotoxicity_median,3,4,148,200,0.5787,0.5756,0.5600,0.6000,0.02,3.34
Basic_VQC,cytotoxicity_median,3,4,149,200,0.5773,0.5756,0.5800,0.6000,0.02,3.37
Basic_VQC,cytotoxicity_median,3,4,150,200,0.5789,0.5756,0.5800,0.6000,0.02,3.39
Basic_VQC,cytotoxicity_median,3,4,151,200,0.5771,0.5756,0.5800,0.6000,0.02,3.41
Basic_VQC,cytotoxicity_median,3,4,152,200,0.5791,0.5756,0.5600,0.6000,0.02,3.44
Basic_VQC,cytotoxicity_median,3,4,153,200,0.5801,0.5756,0.5200,0.6000,0.02,3.46
Basic_VQC,cytotoxicity_median,3,4,154,200,0.5786,0.5756,0.5200,0.6000,0.02,3.48
Basic_VQC,cytotoxicity_median,3,4,155,200,0.5797,0.5756,0.5200,0.6000,0.02,3.50
Basic_VQC,cytotoxicity_median,3,4,156,200,0.5808,0.5756,0.5200,0.6000,0.02,3.52
Basic_VQC,cytotoxicity_median,3,4,157,200,0.5789,0.5756,0.5000,0.6000,0.02,3.54
Basic_VQC,cytotoxicity_median,3,4,158,200,0.5806,0.5756,0.5000,0.6000,0.02,3.56
Basic_VQC,cytotoxicity_median,3,4,159,200,0.5900,0.5756,0.5200,0.6000,0.02,3.59
Basic_VQC,cytotoxicity_median,3,4,160,200,0.5859,0.5756,0.5600,0.6000,0.02,3.61
Basic_VQC,cytotoxicity_median,3,4,161,200,0.5894,0.5756,0.5200,0.6000,0.02,3.63
Basic_VQC,cytotoxicity_median,3,4,162,200,0.5782,0.5756,0.5600,0.6000,0.02,3.65
Basic_VQC,cytotoxicity_median,3,4,163,200,0.5782,0.5756,0.5400,0.6000,0.02,3.67
Basic_VQC,cytotoxicity_median,3,4,164,200,0.5734,0.5734,0.5400,0.6000,0.02,3.70
Basic_VQC,cytotoxicity_median,3,4,165,200,0.5792,0.5734,0.5200,0.6000,0.02,3.72
Basic_VQC,cytotoxicity_median,3,4,166,200,0.5782,0.5734,0.5200,0.6000,0.02,3.74
Basic_VQC,cytotoxicity_median,3,4,167,200,0.5767,0.5734,0.5200,0.6000,0.02,3.76
Basic_VQC,cytotoxicity_median,3,4,168,200,0.5800,0.5734,0.5200,0.6000,0.02,3.78
Basic_VQC,cytotoxicity_median,3,4,169,200,0.5829,0.5734,0.5200,0.6000,0.02,3.80
Basic_VQC,cytotoxicity_median,3,4,170,200,0.5823,0.5734,0.5400,0.6000,0.02,3.82
Basic_VQC,cytotoxicity_median,3,4,171,200,0.5784,0.5734,0.5600,0.6000,0.02,3.84
Basic_VQC,cytotoxicity_median,3,4,172,200,0.5759,0.5734,0.5600,0.6000,0.02,3.87
Basic_VQC,cytotoxicity_median,3,4,173,200,0.5768,0.5734,0.5400,0.6000,0.02,3.89
Basic_VQC,cytotoxicity_median,3,4,174,200,0.5774,0.5734,0.5400,0.6000,0.02,3.91
Basic_VQC,cytotoxicity_median,3,4,175,200,0.5775,0.5734,0.5200,0.6000,0.02,3.93
Basic_VQC,cytotoxicity_median,3,4,176,200,0.5759,0.5734,0.5000,0.6000,0.02,3.95
Basic_VQC,cytotoxicity_median,3,4,177,200,0.5807,0.5734,0.4800,0.6000,0.02,3.97
Basic_VQC,cytotoxicity_median,3,4,178,200,0.5825,0.5734,0.4800,0.6000,0.02,4.00
Basic_VQC,cytotoxicity_median,3,4,179,200,0.5871,0.5734,0.5000,0.6000,0.02,4.02
Basic_VQC,cytotoxicity_median,3,4,180,200,0.5897,0.5734,0.5200,0.6000,0.02,4.04
Basic_VQC,cytotoxicity_median,3,4,181,200,0.5848,0.5734,0.5200,0.6000,0.02,4.06
Basic_VQC,cytotoxicity_median,3,4,182,200,0.5777,0.5734,0.5600,0.6000,0.02,4.09
Basic_VQC,cytotoxicity_median,3,4,183,200,0.5782,0.5734,0.5600,0.6000,0.02,4.11
Basic_VQC,cytotoxicity_median,3,4,184,200,0.5829,0.5734,0.5600,0.6000,0.02,4.13
Basic_VQC,cytotoxicity_median,3,4,185,200,0.5811,0.5734,0.5400,0.6000,0.02,4.15
Basic_VQC,cytotoxicity_median,3,4,186,200,0.5784,0.5734,0.5400,0.6000,0.02,4.17
Basic_VQC,cytotoxicity_median,3,4,187,200,0.5772,0.5734,0.5400,0.6000,0.02,4.19
Basic_VQC,cytotoxicity_median,3,4,188,200,0.5780,0.5734,0.5400,0.6000,0.02,4.21
Basic_VQC,cytotoxicity_median,3,4,189,200,0.5770,0.5734,0.5400,0.6000,0.02,4.24
Basic_VQC,cytotoxicity_median,3,4,190,200,0.5782,0.5734,0.5400,0.6000,0.02,4.26
Basic_VQC,cytotoxicity_median,3,4,191,200,0.5785,0.5734,0.5600,0.6000,0.02,4.28
Basic_VQC,cytotoxicity_median,3,4,192,200,0.5805,0.5734,0.5600,0.6000,0.02,4.30
Basic_VQC,cytotoxicity_median,3,4,193,200,0.5788,0.5734,0.5400,0.6000,0.02,4.32
Basic_VQC,cytotoxicity_median,3,4,194,200,0.5781,0.5734,0.5600,0.6000,0.02,4.34
Basic_VQC,cytotoxicity_median,3,4,195,200,0.5808,0.5734,0.5600,0.6000,0.02,4.36
Basic_VQC,cytotoxicity_median,3,4,196,200,0.5802,0.5734,0.5400,0.6000,0.02,4.38
Basic_VQC,cytotoxicity_median,3,4,197,200,0.5762,0.5734,0.5400,0.6000,0.02,4.41
Basic_VQC,cytotoxicity_median,3,4,198,200,0.5809,0.5734,0.5600,0.6000,0.02,4.43
Basic_VQC,cytotoxicity_median,3,4,199,200,0.5779,0.5734,0.5600,0.6000,0.02,4.45
Basic_VQC,cytotoxicity_median,3,4,200,200,0.5765,0.5734,0.5400,0.6000,0.02,4.47
=================================================================================
Basic_VQC,cytotoxicity_median,3,4,1,200,0.7197,0.7197,0.3800,0.3800,0.02,0.02
Basic_VQC,cytotoxicity_median,3,4,2,200,0.6935,0.6935,0.4800,0.4800,0.03,0.05
Basic_VQC,cytotoxicity_median,3,4,3,200,0.6779,0.6779,0.4400,0.4800,0.03,0.08
Basic_VQC,cytotoxicity_median,3,4,4,200,0.6700,0.6700,0.4800,0.4800,0.03,0.10
Basic_VQC,cytotoxicity_median,3,4,5,200,0.6675,0.6675,0.5000,0.5000,0.03,0.13
Basic_VQC,cytotoxicity_median,3,4,6,200,0.6638,0.6638,0.5200,0.5200,0.02,0.16
Basic_VQC,cytotoxicity_median,3,4,7,200,0.6598,0.6598,0.5000,0.5200,0.03,0.18
Basic_VQC,cytotoxicity_median,3,4,8,200,0.6544,0.6544,0.5000,0.5200,0.03,0.21
Basic_VQC,cytotoxicity_median,3,4,9,200,0.6502,0.6502,0.5200,0.5200,0.03,0.23
Basic_VQC,cytotoxicity_median,3,4,10,200,0.6474,0.6474,0.5200,0.5200,0.02,0.26
Basic_VQC,cytotoxicity_median,3,4,11,200,0.6457,0.6457,0.5200,0.5200,0.03,0.28
Basic_VQC,cytotoxicity_median,3,4,12,200,0.6428,0.6428,0.5600,0.5600,0.02,0.31
Basic_VQC,cytotoxicity_median,3,4,13,200,0.6405,0.6405,0.5600,0.5600,0.02,0.33
Basic_VQC,cytotoxicity_median,3,4,14,200,0.6383,0.6383,0.5400,0.5600,0.02,0.36
Basic_VQC,cytotoxicity_median,3,4,15,200,0.6357,0.6357,0.5400,0.5600,0.02,0.38
Basic_VQC,cytotoxicity_median,3,4,16,200,0.6343,0.6343,0.5200,0.5600,0.02,0.40
Basic_VQC,cytotoxicity_median,3,4,17,200,0.6323,0.6323,0.5400,0.5600,0.02,0.43
Basic_VQC,cytotoxicity_median,3,4,18,200,0.6310,0.6310,0.5400,0.5600,0.02,0.45
Basic_VQC,cytotoxicity_median,3,4,19,200,0.6291,0.6291,0.5400,0.5600,0.02,0.47
Basic_VQC,cytotoxicity_median,3,4,20,200,0.6261,0.6261,0.5600,0.5600,0.02,0.49
Basic_VQC,cytotoxicity_median,3,4,21,200,0.6214,0.6214,0.5800,0.5800,0.02,0.52
Basic_VQC,cytotoxicity_median,3,4,22,200,0.6174,0.6174,0.5400,0.5800,0.02,0.54
Basic_VQC,cytotoxicity_median,3,4,23,200,0.6137,0.6137,0.5400,0.5800,0.02,0.56
Basic_VQC,cytotoxicity_median,3,4,24,200,0.6104,0.6104,0.5600,0.5800,0.02,0.59
Basic_VQC,cytotoxicity_median,3,4,25,200,0.6059,0.6059,0.5600,0.5800,0.02,0.61
Basic_VQC,cytotoxicity_median,3,4,26,200,0.6045,0.6045,0.5000,0.5800,0.02,0.63
Basic_VQC,cytotoxicity_median,3,4,27,200,0.6024,0.6024,0.5200,0.5800,0.02,0.65
Basic_VQC,cytotoxicity_median,3,4,28,200,0.6016,0.6016,0.5400,0.5800,0.02,0.68
Basic_VQC,cytotoxicity_median,3,4,29,200,0.5998,0.5998,0.5400,0.5800,0.03,0.70
Basic_VQC,cytotoxicity_median,3,4,30,200,0.5996,0.5996,0.5400,0.5800,0.02,0.73
Basic_VQC,cytotoxicity_median,3,4,31,200,0.5982,0.5982,0.5200,0.5800,0.02,0.75
Basic_VQC,cytotoxicity_median,3,4,32,200,0.6008,0.5982,0.5000,0.5800,0.02,0.77
Basic_VQC,cytotoxicity_median,3,4,33,200,0.5978,0.5978,0.5000,0.5800,0.02,0.79
Basic_VQC,cytotoxicity_median,3,4,34,200,0.5976,0.5976,0.4800,0.5800,0.02,0.82
Basic_VQC,cytotoxicity_median,3,4,35,200,0.5948,0.5948,0.5000,0.5800,0.02,0.84
Basic_VQC,cytotoxicity_median,3,4,36,200,0.5989,0.5948,0.5600,0.5800,0.02,0.87
Basic_VQC,cytotoxicity_median,3,4,37,200,0.5973,0.5948,0.5200,0.5800,0.02,0.89
Basic_VQC,cytotoxicity_median,3,4,38,200,0.5970,0.5948,0.5200,0.5800,0.02,0.91
Basic_VQC,cytotoxicity_median,3,4,39,200,0.5958,0.5948,0.5400,0.5800,0.02,0.93
Basic_VQC,cytotoxicity_median,3,4,40,200,0.5967,0.5948,0.5800,0.5800,0.02,0.96
Basic_VQC,cytotoxicity_median,3,4,41,200,0.5916,0.5916,0.5800,0.5800,0.02,0.98
Basic_VQC,cytotoxicity_median,3,4,42,200,0.5929,0.5916,0.6000,0.6000,0.02,1.00
Basic_VQC,cytotoxicity_median,3,4,43,200,0.5955,0.5916,0.5800,0.6000,0.02,1.02
Basic_VQC,cytotoxicity_median,3,4,44,200,0.5950,0.5916,0.5800,0.6000,0.02,1.05
Basic_VQC,cytotoxicity_median,3,4,45,200,0.5919,0.5916,0.5600,0.6000,0.02,1.07
Basic_VQC,cytotoxicity_median,3,4,46,200,0.5898,0.5898,0.5600,0.6000,0.02,1.09
Basic_VQC,cytotoxicity_median,3,4,47,200,0.5899,0.5898,0.5400,0.6000,0.02,1.11
Basic_VQC,cytotoxicity_median,3,4,48,200,0.5902,0.5898,0.5200,0.6000,0.02,1.14
Basic_VQC,cytotoxicity_median,3,4,49,200,0.5910,0.5898,0.5200,0.6000,0.03,1.16
Basic_VQC,cytotoxicity_median,3,4,50,200,0.5894,0.5894,0.5200,0.6000,0.02,1.19
Basic_VQC,cytotoxicity_median,3,4,51,200,0.5914,0.5894,0.5400,0.6000,0.02,1.21
Basic_VQC,cytotoxicity_median,3,4,52,200,0.5915,0.5894,0.5600,0.6000,0.02,1.23
Basic_VQC,cytotoxicity_median,3,4,53,200,0.5903,0.5894,0.5400,0.6000,0.02,1.26
Basic_VQC,cytotoxicity_median,3,4,54,200,0.5875,0.5875,0.5200,0.6000,0.02,1.28
Basic_VQC,cytotoxicity_median,3,4,55,200,0.5880,0.5875,0.5200,0.6000,0.02,1.30
Basic_VQC,cytotoxicity_median,3,4,56,200,0.5894,0.5875,0.5400,0.6000,0.02,1.32
Basic_VQC,cytotoxicity_median,3,4,57,200,0.5891,0.5875,0.5400,0.6000,0.02,1.34
Basic_VQC,cytotoxicity_median,3,4,58,200,0.5884,0.5875,0.5400,0.6000,0.02,1.37
Basic_VQC,cytotoxicity_median,3,4,59,200,0.5868,0.5868,0.5400,0.6000,0.02,1.39
Basic_VQC,cytotoxicity_median,3,4,60,200,0.5891,0.5868,0.5000,0.6000,0.02,1.41
Basic_VQC,cytotoxicity_median,3,4,61,200,0.5862,0.5862,0.5400,0.6000,0.02,1.43
Basic_VQC,cytotoxicity_median,3,4,62,200,0.5866,0.5862,0.5200,0.6000,0.02,1.46
Basic_VQC,cytotoxicity_median,3,4,63,200,0.5850,0.5850,0.5800,0.6000,0.03,1.48
Basic_VQC,cytotoxicity_median,3,4,64,200,0.5930,0.5850,0.5600,0.6000,0.03,1.51
Basic_VQC,cytotoxicity_median,3,4,65,200,0.5876,0.5850,0.5600,0.6000,0.03,1.53
Basic_VQC,cytotoxicity_median,3,4,66,200,0.5856,0.5850,0.5600,0.6000,0.03,1.56
Basic_VQC,cytotoxicity_median,3,4,67,200,0.5896,0.5850,0.5600,0.6000,0.03,1.59
Basic_VQC,cytotoxicity_median,3,4,68,200,0.5870,0.5850,0.5000,0.6000,0.03,1.62
Basic_VQC,cytotoxicity_median,3,4,69,200,0.5855,0.5850,0.5000,0.6000,0.03,1.64
Basic_VQC,cytotoxicity_median,3,4,70,200,0.5848,0.5848,0.5200,0.6000,0.03,1.67
Basic_VQC,cytotoxicity_median,3,4,71,200,0.5825,0.5825,0.4800,0.6000,0.03,1.69
Basic_VQC,cytotoxicity_median,3,4,72,200,0.5832,0.5825,0.4800,0.6000,0.02,1.72
Basic_VQC,cytotoxicity_median,3,4,73,200,0.5888,0.5825,0.4800,0.6000,0.03,1.74
Basic_VQC,cytotoxicity_median,3,4,74,200,0.5866,0.5825,0.5000,0.6000,0.03,1.77
Basic_VQC,cytotoxicity_median,3,4,75,200,0.5823,0.5823,0.5400,0.6000,0.03,1.79
Basic_VQC,cytotoxicity_median,3,4,76,200,0.5831,0.5823,0.5200,0.6000,0.03,1.82
Basic_VQC,cytotoxicity_median,3,4,77,200,0.5834,0.5823,0.5200,0.6000,0.03,1.85
Basic_VQC,cytotoxicity_median,3,4,78,200,0.5832,0.5823,0.5200,0.6000,0.03,1.87
Basic_VQC,cytotoxicity_median,3,4,79,200,0.5828,0.5823,0.5400,0.6000,0.03,1.90
Basic_VQC,cytotoxicity_median,3,4,80,200,0.5815,0.5815,0.5400,0.6000,0.03,1.93
Basic_VQC,cytotoxicity_median,3,4,81,200,0.5806,0.5806,0.5600,0.6000,0.03,1.96
Basic_VQC,cytotoxicity_median,3,4,82,200,0.5848,0.5806,0.5200,0.6000,0.03,1.98
Basic_VQC,cytotoxicity_median,3,4,83,200,0.5832,0.5806,0.5600,0.6000,0.03,2.01
Basic_VQC,cytotoxicity_median,3,4,84,200,0.5822,0.5806,0.5600,0.6000,0.03,2.03
Basic_VQC,cytotoxicity_median,3,4,85,200,0.5857,0.5806,0.5400,0.6000,0.03,2.06
Basic_VQC,cytotoxicity_median,3,4,86,200,0.5838,0.5806,0.5800,0.6000,0.03,2.09
Basic_VQC,cytotoxicity_median,3,4,87,200,0.5845,0.5806,0.5600,0.6000,0.03,2.11
Basic_VQC,cytotoxicity_median,3,4,88,200,0.5831,0.5806,0.5400,0.6000,0.03,2.14
Basic_VQC,cytotoxicity_median,3,4,89,200,0.5828,0.5806,0.5000,0.6000,0.03,2.17
Basic_VQC,cytotoxicity_median,3,4,90,200,0.5840,0.5806,0.5400,0.6000,0.03,2.19
Basic_VQC,cytotoxicity_median,3,4,91,200,0.5817,0.5806,0.5600,0.6000,0.03,2.22
Basic_VQC,cytotoxicity_median,3,4,92,200,0.5807,0.5806,0.5800,0.6000,0.03,2.24
Basic_VQC,cytotoxicity_median,3,4,93,200,0.5792,0.5792,0.5600,0.6000,0.02,2.27
Basic_VQC,cytotoxicity_median,3,4,94,200,0.5820,0.5792,0.4600,0.6000,0.03,2.29
Basic_VQC,cytotoxicity_median,3,4,95,200,0.5799,0.5792,0.5000,0.6000,0.03,2.32
Basic_VQC,cytotoxicity_median,3,4,96,200,0.5786,0.5786,0.5400,0.6000,0.03,2.35
Basic_VQC,cytotoxicity_median,3,4,97,200,0.5788,0.5786,0.5200,0.6000,0.02,2.37
Basic_VQC,cytotoxicity_median,3,4,98,200,0.5808,0.5786,0.5000,0.6000,0.02,2.39
Basic_VQC,cytotoxicity_median,3,4,99,200,0.5872,0.5786,0.5800,0.6000,0.02,2.42
Basic_VQC,cytotoxicity_median,3,4,100,200,0.5821,0.5786,0.5200,0.6000,0.02,2.44
Basic_VQC,cytotoxicity_median,3,4,101,200,0.5827,0.5786,0.5200,0.6000,0.02,2.46
Basic_VQC,cytotoxicity_median,3,4,102,200,0.5818,0.5786,0.5000,0.6000,0.02,2.49
Basic_VQC,cytotoxicity_median,3,4,103,200,0.5801,0.5786,0.5000,0.6000,0.02,2.51
Basic_VQC,cytotoxicity_median,3,4,104,200,0.5782,0.5782,0.5000,0.6000,0.02,2.53
Basic_VQC,cytotoxicity_median,3,4,105,200,0.5777,0.5777,0.5000,0.6000,0.02,2.56
Basic_VQC,cytotoxicity_median,3,4,106,200,0.5782,0.5777,0.5200,0.6000,0.02,2.58
Basic_VQC,cytotoxicity_median,3,4,107,200,0.5777,0.5777,0.5400,0.6000,0.02,2.60
Basic_VQC,cytotoxicity_median,3,4,108,200,0.5797,0.5777,0.5600,0.6000,0.02,2.63
Basic_VQC,cytotoxicity_median,3,4,109,200,0.5786,0.5777,0.5400,0.6000,0.02,2.65
Basic_VQC,cytotoxicity_median,3,4,110,200,0.5802,0.5777,0.5400,0.6000,0.02,2.68
Basic_VQC,cytotoxicity_median,3,4,111,200,0.5816,0.5777,0.5200,0.6000,0.02,2.70
Basic_VQC,cytotoxicity_median,3,4,112,200,0.5843,0.5777,0.5200,0.6000,0.02,2.72
Basic_VQC,cytotoxicity_median,3,4,113,200,0.5843,0.5777,0.5000,0.6000,0.02,2.75
Basic_VQC,cytotoxicity_median,3,4,114,200,0.5800,0.5777,0.5200,0.6000,0.02,2.77
Basic_VQC,cytotoxicity_median,3,4,115,200,0.5806,0.5777,0.5800,0.6000,0.02,2.79
Basic_VQC,cytotoxicity_median,3,4,116,200,0.5783,0.5777,0.5400,0.6000,0.03,2.82
Basic_VQC,cytotoxicity_median,3,4,117,200,0.5832,0.5777,0.5200,0.6000,0.02,2.84
Basic_VQC,cytotoxicity_median,3,4,118,200,0.5878,0.5777,0.5600,0.6000,0.02,2.87
Basic_VQC,cytotoxicity_median,3,4,119,200,0.5886,0.5777,0.5000,0.6000,0.02,2.89
Basic_VQC,cytotoxicity_median,3,4,120,200,0.5839,0.5777,0.5600,0.6000,0.02,2.91
Basic_VQC,cytotoxicity_median,3,4,121,200,0.5835,0.5777,0.5600,0.6000,0.02,2.94
Basic_VQC,cytotoxicity_median,3,4,122,200,0.5787,0.5777,0.5600,0.6000,0.02,2.96
Basic_VQC,cytotoxicity_median,3,4,123,200,0.5782,0.5777,0.5200,0.6000,0.02,2.98
Basic_VQC,cytotoxicity_median,3,4,124,200,0.5785,0.5777,0.5000,0.6000,0.02,3.00
Basic_VQC,cytotoxicity_median,3,4,125,200,0.5807,0.5777,0.5200,0.6000,0.02,3.03
Basic_VQC,cytotoxicity_median,3,4,126,200,0.5798,0.5777,0.5000,0.6000,0.02,3.05
Basic_VQC,cytotoxicity_median,3,4,127,200,0.5776,0.5776,0.5000,0.6000,0.02,3.07
Basic_VQC,cytotoxicity_median,3,4,128,200,0.5799,0.5776,0.5400,0.6000,0.02,3.09
Basic_VQC,cytotoxicity_median,3,4,129,200,0.5802,0.5776,0.5200,0.6000,0.02,3.11
Basic_VQC,cytotoxicity_median,3,4,130,200,0.5756,0.5756,0.5000,0.6000,0.02,3.14
Basic_VQC,cytotoxicity_median,3,4,131,200,0.5786,0.5756,0.5000,0.6000,0.02,3.16
Basic_VQC,cytotoxicity_median,3,4,132,200,0.5791,0.5756,0.5000,0.6000,0.02,3.19
Basic_VQC,cytotoxicity_median,3,4,133,200,0.5800,0.5756,0.5200,0.6000,0.02,3.21
Basic_VQC,cytotoxicity_median,3,4,134,200,0.5861,0.5756,0.5600,0.6000,0.02,3.23
Basic_VQC,cytotoxicity_median,3,4,135,200,0.5853,0.5756,0.5200,0.6000,0.02,3.26
Basic_VQC,cytotoxicity_median,3,4,136,200,0.5776,0.5756,0.5000,0.6000,0.02,3.28
Basic_VQC,cytotoxicity_median,3,4,137,200,0.5783,0.5756,0.5000,0.6000,0.02,3.30
Basic_VQC,cytotoxicity_median,3,4,138,200,0.5794,0.5756,0.5400,0.6000,0.02,3.33
Basic_VQC,cytotoxicity_median,3,4,139,200,0.5800,0.5756,0.5400,0.6000,0.02,3.35
Basic_VQC,cytotoxicity_median,3,4,140,200,0.5784,0.5756,0.5400,0.6000,0.02,3.37
Basic_VQC,cytotoxicity_median,3,4,141,200,0.5818,0.5756,0.5600,0.6000,0.02,3.40
Basic_VQC,cytotoxicity_median,3,4,142,200,0.5805,0.5756,0.5200,0.6000,0.02,3.42
Basic_VQC,cytotoxicity_median,3,4,143,200,0.5766,0.5756,0.5200,0.6000,0.02,3.44
Basic_VQC,cytotoxicity_median,3,4,144,200,0.5776,0.5756,0.5200,0.6000,0.02,3.46
Basic_VQC,cytotoxicity_median,3,4,145,200,0.5794,0.5756,0.5000,0.6000,0.02,3.49
Basic_VQC,cytotoxicity_median,3,4,146,200,0.5813,0.5756,0.5000,0.6000,0.02,3.51
Basic_VQC,cytotoxicity_median,3,4,147,200,0.5801,0.5756,0.5400,0.6000,0.02,3.53
Basic_VQC,cytotoxicity_median,3,4,148,200,0.5787,0.5756,0.5600,0.6000,0.02,3.55
Basic_VQC,cytotoxicity_median,3,4,149,200,0.5773,0.5756,0.5800,0.6000,0.02,3.58
Basic_VQC,cytotoxicity_median,3,4,150,200,0.5789,0.5756,0.5800,0.6000,0.02,3.60
Basic_VQC,cytotoxicity_median,3,4,151,200,0.5771,0.5756,0.5800,0.6000,0.02,3.62
Basic_VQC,cytotoxicity_median,3,4,152,200,0.5791,0.5756,0.5600,0.6000,0.02,3.64
Basic_VQC,cytotoxicity_median,3,4,153,200,0.5801,0.5756,0.5200,0.6000,0.02,3.67
Basic_VQC,cytotoxicity_median,3,4,154,200,0.5786,0.5756,0.5200,0.6000,0.02,3.69
Basic_VQC,cytotoxicity_median,3,4,155,200,0.5797,0.5756,0.5200,0.6000,0.02,3.71
Basic_VQC,cytotoxicity_median,3,4,156,200,0.5808,0.5756,0.5200,0.6000,0.02,3.73
Basic_VQC,cytotoxicity_median,3,4,157,200,0.5789,0.5756,0.5000,0.6000,0.02,3.76
Basic_VQC,cytotoxicity_median,3,4,158,200,0.5806,0.5756,0.5000,0.6000,0.02,3.78
Basic_VQC,cytotoxicity_median,3,4,159,200,0.5900,0.5756,0.5200,0.6000,0.02,3.80
Basic_VQC,cytotoxicity_median,3,4,160,200,0.5859,0.5756,0.5600,0.6000,0.02,3.82
Basic_VQC,cytotoxicity_median,3,4,161,200,0.5894,0.5756,0.5200,0.6000,0.02,3.85
Basic_VQC,cytotoxicity_median,3,4,162,200,0.5782,0.5756,0.5600,0.6000,0.02,3.87
Basic_VQC,cytotoxicity_median,3,4,163,200,0.5782,0.5756,0.5400,0.6000,0.02,3.89
Basic_VQC,cytotoxicity_median,3,4,164,200,0.5734,0.5734,0.5400,0.6000,0.02,3.92
Basic_VQC,cytotoxicity_median,3,4,165,200,0.5792,0.5734,0.5200,0.6000,0.02,3.94
Basic_VQC,cytotoxicity_median,3,4,166,200,0.5782,0.5734,0.5200,0.6000,0.02,3.96
Basic_VQC,cytotoxicity_median,3,4,167,200,0.5767,0.5734,0.5200,0.6000,0.02,3.99
Basic_VQC,cytotoxicity_median,3,4,168,200,0.5800,0.5734,0.5200,0.6000,0.02,4.01
Basic_VQC,cytotoxicity_median,3,4,169,200,0.5829,0.5734,0.5200,0.6000,0.02,4.03
Basic_VQC,cytotoxicity_median,3,4,170,200,0.5823,0.5734,0.5400,0.6000,0.02,4.06
Basic_VQC,cytotoxicity_median,3,4,171,200,0.5784,0.5734,0.5600,0.6000,0.02,4.08
Basic_VQC,cytotoxicity_median,3,4,172,200,0.5759,0.5734,0.5600,0.6000,0.02,4.10
Basic_VQC,cytotoxicity_median,3,4,173,200,0.5768,0.5734,0.5400,0.6000,0.02,4.13
Basic_VQC,cytotoxicity_median,3,4,174,200,0.5774,0.5734,0.5400,0.6000,0.02,4.15
Basic_VQC,cytotoxicity_median,3,4,175,200,0.5775,0.5734,0.5200,0.6000,0.02,4.17
Basic_VQC,cytotoxicity_median,3,4,176,200,0.5759,0.5734,0.5000,0.6000,0.02,4.20
Basic_VQC,cytotoxicity_median,3,4,177,200,0.5807,0.5734,0.4800,0.6000,0.03,4.22
Basic_VQC,cytotoxicity_median,3,4,178,200,0.5825,0.5734,0.4800,0.6000,0.03,4.25
Basic_VQC,cytotoxicity_median,3,4,179,200,0.5871,0.5734,0.5000,0.6000,0.03,4.28
Basic_VQC,cytotoxicity_median,3,4,180,200,0.5897,0.5734,0.5200,0.6000,0.03,4.30
Basic_VQC,cytotoxicity_median,3,4,181,200,0.5848,0.5734,0.5200,0.6000,0.03,4.33
Basic_VQC,cytotoxicity_median,3,4,182,200,0.5777,0.5734,0.5600,0.6000,0.02,4.35
Basic_VQC,cytotoxicity_median,3,4,183,200,0.5782,0.5734,0.5600,0.6000,0.03,4.38
Basic_VQC,cytotoxicity_median,3,4,184,200,0.5829,0.5734,0.5600,0.6000,0.02,4.40
Basic_VQC,cytotoxicity_median,3,4,185,200,0.5811,0.5734,0.5400,0.6000,0.03,4.43
Basic_VQC,cytotoxicity_median,3,4,186,200,0.5784,0.5734,0.5400,0.6000,0.02,4.45
Basic_VQC,cytotoxicity_median,3,4,187,200,0.5772,0.5734,0.5400,0.6000,0.03,4.48
Basic_VQC,cytotoxicity_median,3,4,188,200,0.5780,0.5734,0.5400,0.6000,0.03,4.50
Basic_VQC,cytotoxicity_median,3,4,189,200,0.5770,0.5734,0.5400,0.6000,0.02,4.53
Basic_VQC,cytotoxicity_median,3,4,190,200,0.5782,0.5734,0.5400,0.6000,0.02,4.55
Basic_VQC,cytotoxicity_median,3,4,191,200,0.5785,0.5734,0.5600,0.6000,0.02,4.58
Basic_VQC,cytotoxicity_median,3,4,192,200,0.5805,0.5734,0.5600,0.6000,0.03,4.60
Basic_VQC,cytotoxicity_median,3,4,193,200,0.5788,0.5734,0.5400,0.6000,0.03,4.63
Basic_VQC,cytotoxicity_median,3,4,194,200,0.5781,0.5734,0.5600,0.6000,0.03,4.66
Basic_VQC,cytotoxicity_median,3,4,195,200,0.5808,0.5734,0.5600,0.6000,0.02,4.68
Basic_VQC,cytotoxicity_median,3,4,196,200,0.5802,0.5734,0.5400,0.6000,0.03,4.71
Basic_VQC,cytotoxicity_median,3,4,197,200,0.5762,0.5734,0.5400,0.6000,0.02,4.73
Basic_VQC,cytotoxicity_median,3,4,198,200,0.5809,0.5734,0.5600,0.6000,0.03,4.76
Basic_VQC,cytotoxicity_median,3,4,199,200,0.5779,0.5734,0.5600,0.6000,0.03,4.78
Basic_VQC,cytotoxicity_median,3,4,200,200,0.5765,0.5734,0.5400,0.6000,0.03,4.81
