Model,Dataset,Qubits,Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
Strong_VQC,circles,3,4,1,10,0.6983,0.6983,0.4917,0.4917,0.01,0.01
Strong_VQC,circles,3,4,2,10,0.6963,0.6963,0.4667,0.4917,0.01,0.02
Strong_VQC,circles,3,4,3,10,0.6947,0.6947,0.4333,0.4917,0.01,0.02
Strong_VQC,circles,3,4,4,10,0.6936,0.6936,0.4167,0.4917,0.01,0.03
Strong_VQC,circles,3,4,5,10,0.6930,0.6930,0.4333,0.4917,0.01,0.04
Strong_VQC,circles,3,4,6,10,0.6927,0.6927,0.4500,0.4917,0.01,0.04
Strong_VQC,circles,3,4,7,10,0.6926,0.6926,0.4583,0.4917,0.01,0.05
Strong_VQC,circles,3,4,8,10,0.6927,0.6926,0.4500,0.4917,0.01,0.06
Strong_VQC,circles,3,4,9,10,0.6928,0.6926,0.4500,0.4917,0.01,0.07
Strong_VQC,circles,3,4,10,10,0.6929,0.6926,0.4667,0.4917,0.01,0.07
=================================================================================
Strong_VQC,circles,3,4,1,10,0.6946,0.6946,0.5250,0.5250,0.01,0.01
Strong_VQC,circles,3,4,2,10,0.6937,0.6937,0.4750,0.5250,0.01,0.02
Strong_VQC,circles,3,4,3,10,0.6931,0.6931,0.4250,0.5250,0.01,0.02
Strong_VQC,circles,3,4,4,10,0.6927,0.6927,0.4333,0.5250,0.01,0.03
Strong_VQC,circles,3,4,5,10,0.6926,0.6926,0.4500,0.5250,0.01,0.04
Strong_VQC,circles,3,4,6,10,0.6926,0.6926,0.4583,0.5250,0.01,0.04
Strong_VQC,circles,3,4,7,10,0.6927,0.6926,0.4667,0.5250,0.01,0.05
Strong_VQC,circles,3,4,8,10,0.6928,0.6926,0.4917,0.5250,0.01,0.06
Strong_VQC,circles,3,4,9,10,0.6928,0.6926,0.4750,0.5250,0.01,0.06
Strong_VQC,circles,3,4,10,10,0.6928,0.6926,0.4750,0.5250,0.01,0.07
=================================================================================
Strong_VQC,circles,3,4,1,200,0.6969,0.6969,0.4667,0.4667,0.01,0.01
Strong_VQC,circles,3,4,2,200,0.6960,0.6960,0.4583,0.4667,0.01,0.02
Strong_VQC,circles,3,4,3,200,0.6953,0.6953,0.4583,0.4667,0.01,0.02
Strong_VQC,circles,3,4,4,200,0.6946,0.6946,0.4583,0.4667,0.01,0.03
Strong_VQC,circles,3,4,5,200,0.6941,0.6941,0.4583,0.4667,0.01,0.04
Strong_VQC,circles,3,4,6,200,0.6936,0.6936,0.4417,0.4667,0.01,0.05
Strong_VQC,circles,3,4,7,200,0.6931,0.6931,0.4333,0.4667,0.01,0.05
Strong_VQC,circles,3,4,8,200,0.6928,0.6928,0.4417,0.4667,0.01,0.06
Strong_VQC,circles,3,4,9,200,0.6927,0.6927,0.4333,0.4667,0.01,0.07
Strong_VQC,circles,3,4,10,200,0.6926,0.6926,0.4250,0.4667,0.01,0.08
Strong_VQC,circles,3,4,11,200,0.6927,0.6926,0.4333,0.4667,0.01,0.08
Strong_VQC,circles,3,4,12,200,0.6929,0.6926,0.4667,0.4667,0.01,0.09
Strong_VQC,circles,3,4,13,200,0.6930,0.6926,0.4583,0.4667,0.01,0.10
Strong_VQC,circles,3,4,14,200,0.6930,0.6926,0.4583,0.4667,0.01,0.11
Strong_VQC,circles,3,4,15,200,0.6929,0.6926,0.4333,0.4667,0.01,0.11
Strong_VQC,circles,3,4,16,200,0.6928,0.6926,0.4250,0.4667,0.01,0.12
Strong_VQC,circles,3,4,17,200,0.6927,0.6926,0.4333,0.4667,0.01,0.13
Strong_VQC,circles,3,4,18,200,0.6926,0.6926,0.4333,0.4667,0.01,0.14
Strong_VQC,circles,3,4,19,200,0.6926,0.6926,0.4417,0.4667,0.01,0.14
Strong_VQC,circles,3,4,20,200,0.6926,0.6926,0.4250,0.4667,0.01,0.15
Strong_VQC,circles,3,4,21,200,0.6927,0.6926,0.4417,0.4667,0.01,0.16
Strong_VQC,circles,3,4,22,200,0.6927,0.6926,0.4333,0.4667,0.01,0.17
Strong_VQC,circles,3,4,23,200,0.6927,0.6926,0.4417,0.4667,0.01,0.17
Strong_VQC,circles,3,4,24,200,0.6927,0.6926,0.4250,0.4667,0.01,0.18
Strong_VQC,circles,3,4,25,200,0.6927,0.6926,0.4417,0.4667,0.01,0.19
Strong_VQC,circles,3,4,26,200,0.6927,0.6926,0.4583,0.4667,0.01,0.20
Strong_VQC,circles,3,4,27,200,0.6927,0.6926,0.4333,0.4667,0.01,0.21
Strong_VQC,circles,3,4,28,200,0.6926,0.6926,0.4417,0.4667,0.01,0.21
Strong_VQC,circles,3,4,29,200,0.6926,0.6926,0.4417,0.4667,0.01,0.22
Strong_VQC,circles,3,4,30,200,0.6926,0.6926,0.4333,0.4667,0.01,0.23
Strong_VQC,circles,3,4,31,200,0.6926,0.6926,0.4417,0.4667,0.01,0.23
Strong_VQC,circles,3,4,32,200,0.6926,0.6926,0.4417,0.4667,0.01,0.24
Strong_VQC,circles,3,4,33,200,0.6926,0.6926,0.4500,0.4667,0.01,0.25
Strong_VQC,circles,3,4,34,200,0.6926,0.6926,0.4500,0.4667,0.01,0.25
Strong_VQC,circles,3,4,35,200,0.6926,0.6926,0.4333,0.4667,0.01,0.26
Strong_VQC,circles,3,4,36,200,0.6926,0.6926,0.4417,0.4667,0.01,0.27
Strong_VQC,circles,3,4,37,200,0.6926,0.6926,0.4417,0.4667,0.01,0.28
Strong_VQC,circles,3,4,38,200,0.6926,0.6926,0.4333,0.4667,0.01,0.28
Strong_VQC,circles,3,4,39,200,0.6926,0.6926,0.4333,0.4667,0.01,0.29
Strong_VQC,circles,3,4,40,200,0.6926,0.6926,0.4417,0.4667,0.01,0.30
Strong_VQC,circles,3,4,41,200,0.6926,0.6926,0.4417,0.4667,0.01,0.31
Strong_VQC,circles,3,4,42,200,0.6926,0.6926,0.4500,0.4667,0.01,0.32
Strong_VQC,circles,3,4,43,200,0.6926,0.6926,0.4500,0.4667,0.01,0.32
Strong_VQC,circles,3,4,44,200,0.6926,0.6926,0.4417,0.4667,0.01,0.33
Strong_VQC,circles,3,4,45,200,0.6926,0.6926,0.4417,0.4667,0.01,0.34
Strong_VQC,circles,3,4,46,200,0.6926,0.6926,0.4500,0.4667,0.01,0.35
Strong_VQC,circles,3,4,47,200,0.6926,0.6926,0.4417,0.4667,0.01,0.35
Strong_VQC,circles,3,4,48,200,0.6926,0.6926,0.4417,0.4667,0.01,0.36
Strong_VQC,circles,3,4,49,200,0.6926,0.6926,0.4417,0.4667,0.01,0.37
Strong_VQC,circles,3,4,50,200,0.6926,0.6926,0.4417,0.4667,0.01,0.38
Strong_VQC,circles,3,4,51,200,0.6926,0.6926,0.4417,0.4667,0.01,0.39
Strong_VQC,circles,3,4,52,200,0.6926,0.6926,0.4417,0.4667,0.01,0.39
Strong_VQC,circles,3,4,53,200,0.6926,0.6926,0.4417,0.4667,0.01,0.40
Strong_VQC,circles,3,4,54,200,0.6926,0.6926,0.4417,0.4667,0.01,0.41
Strong_VQC,circles,3,4,55,200,0.6926,0.6926,0.4417,0.4667,0.01,0.42
Strong_VQC,circles,3,4,56,200,0.6926,0.6926,0.4417,0.4667,0.01,0.43
Strong_VQC,circles,3,4,57,200,0.6926,0.6926,0.4417,0.4667,0.01,0.43
Strong_VQC,circles,3,4,58,200,0.6926,0.6926,0.4417,0.4667,0.01,0.44
Strong_VQC,circles,3,4,59,200,0.6926,0.6926,0.4333,0.4667,0.01,0.45
Strong_VQC,circles,3,4,60,200,0.6926,0.6926,0.4333,0.4667,0.01,0.46
Strong_VQC,circles,3,4,61,200,0.6926,0.6926,0.4417,0.4667,0.01,0.47
Strong_VQC,circles,3,4,62,200,0.6926,0.6926,0.4417,0.4667,0.01,0.47
Strong_VQC,circles,3,4,63,200,0.6926,0.6926,0.4333,0.4667,0.01,0.48
Strong_VQC,circles,3,4,64,200,0.6926,0.6926,0.4333,0.4667,0.01,0.49
Strong_VQC,circles,3,4,65,200,0.6926,0.6926,0.4417,0.4667,0.01,0.50
Strong_VQC,circles,3,4,66,200,0.6926,0.6926,0.4417,0.4667,0.01,0.51
Strong_VQC,circles,3,4,67,200,0.6926,0.6926,0.4417,0.4667,0.01,0.52
Strong_VQC,circles,3,4,68,200,0.6926,0.6926,0.4417,0.4667,0.01,0.53
Strong_VQC,circles,3,4,69,200,0.6926,0.6926,0.4417,0.4667,0.01,0.53
Strong_VQC,circles,3,4,70,200,0.6926,0.6926,0.4417,0.4667,0.01,0.54
Strong_VQC,circles,3,4,71,200,0.6926,0.6926,0.4417,0.4667,0.01,0.55
Strong_VQC,circles,3,4,72,200,0.6926,0.6926,0.4417,0.4667,0.01,0.56
Strong_VQC,circles,3,4,73,200,0.6926,0.6926,0.4417,0.4667,0.01,0.56
